mode,top,name,acc,type,layout
place,2,wyd,0.95639535,personal,qwerty
place,3,wyd,0.9622093,personal,qwerty
place,4,wyd,0.97093023,personal,qwerty
hover,0,wyd,0.79310345,personal,qwerty
hover,1,wyd,0.88087774,personal,qwerty
hover,2,wyd,0.92163009,personal,qwerty
hover,3,wyd,0.93416928,personal,qwerty
hover,4,wyd,0.94043887,personal,qwerty
place,0,czt,0.67155425,personal,qwerty
place,1,czt,0.80645161,personal,qwerty
place,2,czt,0.87390029,personal,qwerty
place,3,czt,0.8973607,personal,qwerty
place,4,czt,0.91788856,personal,qwerty
hover,0,czt,0.66972477,personal,qwerty
hover,1,czt,0.80428135,personal,qwerty
hover,2,czt,0.86238532,personal,qwerty
hover,3,czt,0.88073394,personal,qwerty
hover,4,czt,0.91131498,personal,qwerty
place,0,gsh,0.88990826,personal,qwerty
place,1,gsh,0.95107034,personal,qwerty
place,2,gsh,0.97247706,personal,qwerty
place,3,gsh,0.98165138,personal,qwerty
place,4,gsh,0.98776758,personal,qwerty
hover,0,gsh,0.875,personal,qwerty
hover,1,gsh,0.95833333,personal,qwerty
hover,2,gsh,0.98511905,personal,qwerty
hover,3,gsh,0.98809524,personal,qwerty
hover,4,gsh,0.99107143,personal,qwerty
place,0,fsq,0.6519174,personal,qwerty
place,1,fsq,0.79646018,personal,qwerty
place,2,fsq,0.83480826,personal,qwerty
place,3,fsq,0.86135693,personal,qwerty
place,4,fsq,0.90265487,personal,qwerty
hover,0,fsq,0.71929825,personal,qwerty
hover,1,fsq,0.83333333,personal,qwerty
hover,2,fsq,0.86842105,personal,qwerty
hover,3,fsq,0.89181287,personal,qwerty
hover,4,fsq,0.90935673,personal,qwerty
place,0,wangchen1,0.778125,general,qwerty
place,1,wangchen1,0.878125,general,qwerty
place,2,wangchen1,0.909375,general,qwerty
place,3,wangchen1,0.940625,general,qwerty
place,4,wangchen1,0.953125,general,qwerty
hover,0,wangchen1,0.903030303,general,qwerty
hover,1,wangchen1,0.966666667,general,qwerty
hover,2,wangchen1,0.975757576,general,qwerty
hover,3,wangchen1,0.984848485,general,qwerty
hover,4,wangchen1,0.990909091,general,qwerty
place,0,cai,0.363095238,general,qwerty
place,1,cai,0.470238095,general,qwerty
place,2,cai,0.523809524,general,qwerty
place,3,cai,0.5625,general,qwerty
place,4,cai,0.592261905,general,qwerty
