mode,top,name,acc,k
hover,2,cai,0.792284866,0.8
hover,3,cai,0.833827893,0.8
hover,4,cai,0.866468843,0.8
place,0,luyiqin,0.678787879,0.8
place,1,luyiqin,0.809090909,0.8
place,2,luyiqin,0.860606061,0.8
place,3,luyiqin,0.893939394,0.8
place,4,luyiqin,0.915151515,0.8
hover,0,luyiqin,0.534743202,0.8
hover,1,luyiqin,0.643504532,0.8
hover,2,luyiqin,0.6918429,0.8
hover,3,luyiqin,0.743202417,0.8
hover,4,luyiqin,0.776435045,0.8
place,0,fjy,0.68373494,0.8
place,1,fjy,0.810240964,0.8
place,2,fjy,0.864457831,0.8
place,3,fjy,0.879518072,0.8
place,4,fjy,0.891566265,0.8
hover,0,fjy,0.62202381,0.8
hover,1,fjy,0.75297619,0.8
hover,2,fjy,0.80952381,0.8
hover,3,fjy,0.842261905,0.8
hover,4,fjy,0.860119048,0.8
place,0,lc,0.668621701,0.8
place,1,lc,0.768328446,0.8
place,2,lc,0.824046921,0.8
place,3,lc,0.856304985,0.8
place,4,lc,0.865102639,0.8
hover,0,lc,0.770833333,0.8
hover,1,lc,0.860119048,0.8
hover,2,lc,0.910714286,0.8
hover,3,lc,0.925595238,0.8
hover,4,lc,0.94047619,0.8
place,0,lwk,0.680597015,0.8
place,1,lwk,0.823880597,0.8
place,2,lwk,0.889552239,0.8
place,3,lwk,0.91641791,0.8
place,4,lwk,0.931343284,0.8
hover,0,lwk,0.699386503,0.8
hover,1,lwk,0.803680982,0.8
hover,2,lwk,0.858895706,0.8
hover,3,lwk,0.895705521,0.8
hover,4,lwk,0.914110429,0.8
place,0,lxy,0.769230769,0.8
place,1,lxy,0.889230769,0.8
place,2,lxy,0.910769231,0.8
place,3,lxy,0.935384615,0.8
place,4,lxy,0.950769231,0.8
hover,0,lxy,0.834337349,0.8
hover,1,lxy,0.930722892,0.8
hover,2,lxy,0.957831325,0.8
hover,3,lxy,0.96686747,0.8
hover,4,lxy,0.978915663,0.8
place,0,qdn,0.696428571,0.8
place,1,qdn,0.791666667,0.8
place,2,qdn,0.821428571,0.8
place,3,qdn,0.845238095,0.8
place,4,qdn,0.854166667,0.8
hover,0,qdn,0.685459941,0.8
hover,1,qdn,0.798219585,0.8
hover,2,qdn,0.845697329,0.8
hover,3,qdn,0.881305638,0.8
hover,4,qdn,0.902077151,0.8
place,0,wyd,0.720930233,0.8
place,1,wyd,0.848837209,0.8
place,2,wyd,0.886627907,0.8
place,3,wyd,0.904069767,0.8
place,4,wyd,0.930232558,0.8
hover,0,wyd,0.752351097,0.8
hover,1,wyd,0.836990596,0.8
hover,2,wyd,0.880877743,0.8
hover,3,wyd,0.912225705,0.8
hover,4,wyd,0.934169279,0.8
place,0,czt,0.568914956,0.8
place,1,czt,0.68914956,0.8
place,2,czt,0.7771261,0.8
place,3,czt,0.812316716,0.8
place,4,czt,0.84457478,0.8
hover,0,czt,0.577981651,0.8
hover,1,czt,0.712538226,0.8
hover,2,czt,0.785932722,0.8
hover,3,czt,0.831804281,0.8
hover,4,czt,0.862385321,0.8
place,0,gsh,0.816513761,0.8
place,1,gsh,0.911314985,0.8
place,2,gsh,0.960244648,0.8
place,3,gsh,0.98470948,0.8
place,4,gsh,0.987767584,0.8
hover,0,gsh,0.833333333,0.8
hover,1,gsh,0.931547619,0.8
